index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
37,-10.383900,8.178170,6.363320,-6.183672,8.179437,-21.844324,-0.000000,0.000000,-0.000000
38,-10.764600,8.711670,6.931610,-5.779457,8.675073,-22.038797,0.000000,0.000000,-0.000000
39,10.101000,6.553020,5.535080,-14.395744,-17.486950,-16.802502,-0.000000,0.000000,0.000000
40,-5.564100,-13.279100,-3.536420,0.000000,0.000000,0.000000,15.476247,28.783051,2.295857
41,-6.720370,-12.477800,-2.164750,-1.440739,-0.718429,-0.762620,0.000000,-0.000000,0.000000
42,-5.305730,-11.915800,-3.712670,-1.741287,-1.719873,-1.756729,0.000000,-0.000000,0.000000
43,1.435870,-4.123010,-2.350320,-13.877781,-2.963084,-17.204189,-0.000000,0.000000,-0.000000
44,2.115690,-4.450970,-3.345630,-14.393571,-3.921876,-17.249087,0.000000,0.000000,0.000000
45,6.541140,-13.350400,-3.028270,-19.119208,-6.170093,-13.412747,0.000000,0.000000,0.000000
46,4.690570,-13.376400,-2.512550,-18.961767,-4.867635,-12.782037,0.000000,-0.000000,0.000000
47,5.198550,-13.130900,-4.190310,-19.387549,-6.138751,-13.096921,-0.000000,0.000000,0.000000
48,-6.006290,-9.180920,-3.517270,-7.450302,-3.719349,-6.702973,0.000000,0.000000,0.000000
49,-5.113230,-7.603340,-4.418090,-10.103037,-3.902668,-9.104242,-0.000000,0.000000,0.000000
50,7.951470,8.182930,5.419660,-14.616599,-16.541566,-17.132507,-0.000000,-0.000000,-0.000000
51,-10.707600,9.109310,6.112340,-5.626354,8.270688,-22.224330,0.000000,0.000000,-0.000000
52,-10.668900,10.004300,5.573590,-5.126052,8.004044,-22.631280,0.000000,-0.000000,0.000000
53,-11.371200,8.035530,5.647420,-6.358911,8.480134,-21.662232,-0.000000,-0.000000,0.000000
54,6.195390,5.359220,-1.562280,-8.655403,-5.957732,-22.600098,0.000000,0.000000,-0.000000
55,5.784980,6.780650,-1.377790,-7.730227,-5.680020,-22.536449,-0.000000,-0.000000,0.000000
56,10.639900,6.527640,4.223520,-12.031904,-14.670975,-16.212666,-0.000000,-0.000000,0.000000
57,3.317050,11.960200,4.534260,-3.603414,-1.965721,-25.036958,0.000000,-0.000000,-0.000000
58,1.662570,11.699700,4.966580,-3.743423,-0.584546,-24.740163,0.000000,-0.000000,0.000000
59,2.416500,11.696700,5.336390,-3.704041,-0.971234,-24.823702,-0.000000,0.000000,-0.000000
60,-0.818237,-4.135780,-6.126400,-14.964551,-3.920596,-16.644071,0.000000,0.000000,0.000000
61,-0.606893,-3.338470,-6.302740,-14.643440,-4.124607,-17.171585,0.000000,0.000000,-0.000000
62,-0.890798,5.096430,5.529110,-8.395867,1.509278,-21.656547,0.000000,-0.000000,0.000000
63,-1.872120,6.512610,4.907950,-7.456714,1.948572,-22.128675,-0.000000,-0.000000,-0.000000
64,-8.975310,10.805900,5.006830,-4.687981,6.680716,-23.193389,0.000000,-0.000000,0.000000
65,0.187973,4.784510,5.532030,-8.617647,0.737194,-21.648332,-0.000000,0.000000,-0.000000
66,-0.537877,5.183650,4.044210,-8.490537,0.642906,-21.732431,0.000000,-0.000000,-0.000000
67,0.683683,5.922650,3.380740,-8.042817,-0.491384,-22.181773,0.000000,0.000000,0.000000
68,1.412350,-2.887820,-4.335470,-13.894804,-4.115396,-18.021798,-0.000000,0.000000,0.000000
